Bab;Padişah Dönemi;Kişi;Sosyal Grup;İlişki Ağı (Genelde Kadınlar);NA Aile ilişkisi;NA Aile İlişkisi;NA Gelecek Nesil;Cinsiyet;Karar(Direkt);Karar (dolaylı);Etken Aktör;Sıfat-Söylem;Sıfat Değeri;Bizden;Öteki;Yaş;Ölüm Nedeni;;;;;;;;;;;;;;;
31;Orhan Gazi;Edebalı;Şeyh;;;;;Erkek;n/a;n/a;n/a;Kavmi Çandarlu'ya danışdı;Olumsuz;Evet;-;;;;;;;;;;;;;;;;;
31;Orhan Gazi;n/a;n/a;;;;;Erkek;n/a;n/a;n/a;Cünup;Olumsuz;-;Evet;;;;;;;;;;;;;;;;;
33;Orhan Gazi;Hacı Hasan;Aziz;;;;;Erkek;n/a;n/a;n/a;Aziz;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
33;Orhan Gazi;Taceddin-i Kürdi;Şakirt;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
33;Orhan Gazi;Siracü'ddini Urmevi;Şakirt;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
34;Orhan Gazi;Süleyman Paşa;Gazi;;;;;Erkek;n/a;n/a;n/a;Ahd ılan (olan);Olumlu;Evet;-;;;;;;;;;;;;;;;;;
34;Orhan Gazi;Süleyman Paşa;Gazi;;;;;Erkek;n/a;n/a;n/a;Eman ılan (olan);Olumlu;Evet;;;;;;;;;;;;;;;;;;
34;Orhan Gazi;Murad I;Gazi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
34;Orhan Gazi;Gündüz;Gazi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
35;Orhan Gazi;Aclan Beg;Beg;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;-;Evet;;;;;;;;;;;;;;;;;
35;Orhan Gazi;Tursun Beg;Beg;;Firuz Bey'in Oğlu;;Oğlu Hamza Bey;Erkek;Karesioglı fethi;n/a;1;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
35;Orhan Gazi;Hacı İlbegi;Vezir;;Dursun Beyin Veziri;Karesioğullarından;Zehirlenerek;Erkek;n/a;Karesioglı fethi;1;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
35;Orhan Gazi;Kalamestroya;n/a;Kirmastı'nın Sahibi;;;;Kadın;n/a;n/a;n/a;n/a;n/a;-;Evet;;;;;;;;;;;;;;;;;
35;Orhan Gazi;Mihalcı;n/a;Kalamastroya'nın kardeşi;;;;Erkek;n/a;n/a;n/a;n/a;n/a;-;Evet;;;;;;;;;;;;;;;;;
37;Orhan Gazi;Süleyman Paşa;Paşa;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
38;Orhan Gazi;Turgut Alp;Gazi;;;;;Erkek;n/a;n/a;n/a;Muhabbet;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
38;Orhan Gazi;Turgut Alp;Gazi;;;;;Erkek;n/a;n/a;n/a;Musahabeti Pir oldı;Olumlu;Evet;;;;;;;;;;;;;;;;;;
38;Orhan Gazi;Baba İlyas;Derviş;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
38;Orhan Gazi;Ece Beg (Ya'kub Ece);Beg;;;;;Erkek;n/a;n/a;n/a;Begayet dilir;Olumlu;Evet;-;;;;;;;;;;;;;;;;;
38;Orhan Gazi;Ece Beg (Ya'kub Ece);Beg;;;;;Erkek;n/a;n/a;n/a;Aziz;Olumlu;Evet;;;;;;;;;;;;;;;;;;
38;Orhan Gazi;Gazi Fazıl;Gazi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;;;;;;;;;;;;;;;;;
40;Orhan Gazi;Kalakonya;Tekür;;;;;Erkek;n/a;n/a;n/a;Bahadır ve mel'un;Olumlu;-;Evet;;;;;;;;;;;;;;;;;
40;Orhan Gazi;Hacı İlbegi;Gazi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;;;;;;;;;;;;;;;;;;
41;Orhan Gazi;Evrenez;Gazi;;;;;Erkek;n/a;n/a;n/a;Yarar yoldaş;Olumlu;Evet;;;;;;;;;;;;;;;;;;
